id,x,y,z
62,-1.6528813,-1.9871582,5.4189982
63,1.077757,-1.756242,4.8054504
64,-1.8996452,-2.3322208,6.42775
65,0.61183816,-1.7024034,4.8629403
66,1.4784844,-1.1050514,3.1560917
67,1.1142493,-1.4584415,4.1867957
68,0.7441375,-1.8462381,5.607728
69,-0.85923296,-0.7795415,2.4399583
70,0.9098696,-1.4759502,4.700276
71,1.096382,-1.2861071,4.1205845
72,0.9641887,-1.6018543,5.193809
73,0.86009985,-1.5913194,5.8921304
74,0.95859444,-1.3621991,5.11206
75,0.9251809,-1.2194139,4.889188
76,1.0101784,-1.1860745,4.7571764
77,1.0545263,-1.10676,4.7380185
78,0.6242485,-1.1467913,4.9523168
79,0.5869849,-1.0081869,4.66083
80,0.8113463,-1.1939228,5.5598865
81,0.9777708,-1.2623947,6.210777
82,-0.6316978,-0.53374314,2.6563442
83,0.6009555,-0.89079124,4.700118
84,1.279136,-0.8737696,4.7799673
85,1.0712136,-0.6917188,4.0524664
86,-0.839874,-0.5251219,3.7099414
87,1.169261,-0.59775984,4.3665805
88,0.91691405,-0.60252804,4.684434
89,1.1821853,-0.49398616,4.4128594
90,-0.25494015,-0.23167317,2.805807
91,-0.016678134,-0.02894682,0.35684052
92,-0.066912726,-0.1890925,2.7417886
93,1.1609904,-0.2882843,4.334589
94,1.0397556,-0.29127252,4.844566
95,-0.0340828,-0.15631802,2.6987634
96,0.99349236,-0.13008223,4.712548
97,-0.37708342,-0.06382809,3.625295
98,1.1299417,-0.035370216,4.3074236
99,0.49781573,-0.0016764145,1.4700954
100,0.8633969,0.01190061,4.0229263
101,-1.343636,0.041804995,7.5341353
102,1.1389678,0.08256321,4.048135
103,0.55327016,0.03769277,1.4985406
104,-0.92422885,0.10436316,2.8930588
105,-1.6921263,-2.0749412,5.7552
106,1.1130937,-1.4593705,4.2024045
107,-0.7251165,-2.016108,6.048673
108,1.3988216,-1.0977414,3.341177
109,-0.8267988,-0.7673032,2.418759
110,0.96809566,-1.5778599,5.0032845
111,0.59372324,-1.393211,4.6980095
112,-0.55360913,-0.68662024,2.7102373
113,1.1263185,-1.0658416,4.248324
114,0.7553874,-1.2357386,5.4818773
115,1.2585745,-0.97135407,4.697347
116,0.60300654,-0.8943663,4.6827803
117,-0.44430768,-0.46636066,2.504869
118,1.2352268,-0.8448118,4.626318
119,1.0768976,-0.6998178,4.0984025
120,1.0374451,-0.809958,4.879677
121,0.60485286,-0.6455107,4.6531415
122,1.0713761,-0.7190594,5.455432
123,1.0505979,-0.44007945,3.9349852
124,1.0356684,-0.38769808,3.9767733
125,1.0647908,-0.31002617,4.05117
126,1.0852089,-0.29409304,5.053178
127,1.0827321,-0.1708738,4.049963
128,1.0738271,-0.17976421,4.7494307
129,0.9172956,-0.12592293,4.3671956
130,-1.8781607,-0.11909175,8.6116705
131,-1.3981669,-0.10285437,7.42371
132,1.0148969,-0.039132454,3.8971226
133,-1.9556534,0.073782496,6.76726
134,1.1156198,0.05466359,3.7270622
135,0.5223449,0.024572248,1.4648991
136,-0.15239492,0.0632676,2.869472
137,0.5398517,0.03789397,1.4668461
138,0.26529616,0.062479503,2.1968381
139,-0.7578083,0.082142584,2.279508
140,-0.9085447,0.10077897,2.8500834
141,0.4175153,0.08205586,1.5479025
142,-1.6921263,-2.0749412,5.7552
143,0.8092157,-2.0105367,6.026482
144,0.9460534,-1.2647462,5.043483
145,1.1200227,-1.0536606,4.1977882
146,1.2202299,-1.1002373,4.6806445
147,0.8843514,-1.431161,6.3198304
148,1.106273,-0.920992,4.2292085
149,1.1039683,-0.84544516,4.138065
150,0.6605244,-0.9800935,5.077473
151,1.0950563,-0.697994,4.1450033
152,0.8507526,-0.79449975,5.3242583
153,1.0702337,-0.44560382,4.0128107
154,-0.63044345,-0.3666032,3.7711637
155,-0.26999265,-0.24242617,2.9038503
156,-0.073063195,-0.23942833,3.4239104
157,1.0591462,-0.25614366,3.971278
158,1.0227344,-0.04450725,3.9133945
159,0.73345184,-0.034659613,4.0371523
160,-2.5512576,0.009771208,9.586157
161,-2.5549598,0.12352826,9.600445
162,0.50323975,0.021003077,1.4295164
163,1.1706146,0.092839845,5.1255045
164,0.45692447,0.028583195,1.4197006
165,0.63789374,0.071160324,1.5884844
166,-0.84099877,-2.3872428,7.0626
167,0.91397303,-1.7155715,6.1480303
168,1.2329776,-0.94146895,4.6208854
169,-1.1133868,-0.58821726,3.9280996
170,1.0639795,-0.6045286,4.02638
171,-0.6568256,-0.38218635,3.914778
172,1.212456,-0.45575297,4.65221
173,-1.7491449,-0.11197109,8.050505
174,-0.53784364,0.051247973,4.6745787
175,-0.17710546,0.06284172,3.0002935
176,0.6147755,0.06745384,1.5396888
177,-0.52721477,-0.64257234,2.5577865
178,0.9931526,-0.89170563,3.8591337
179,-0.71799934,-0.53180754,2.5553052
180,-0.8850398,-0.4342864,3.9895525
181,-0.11528556,-0.1630585,2.2275844
182,-1.7582796,-0.10178949,8.068312
183,-1.3402157,-0.08905988,7.0450196
184,-1.1725594,0.043803375,6.576474
185,-0.7356224,-0.5492275,2.6102319
186,-1.4606177,-0.65468645,6.7812953
187,-0.116974145,-0.16051984,2.1871185
188,-0.70356226,-0.30012953,5.614425
189,-1.5253713,-0.0016061488,7.0782847
190,0.34722576,0.045295216,2.6464214
191,0.1206833,0.03222684,1.441244
192,-0.60465825,-0.62720054,3.0357049
193,-1.6250762,-0.9088258,6.336763
194,-1.6726983,-0.0016936952,7.727895
195,0.4116447,0.076086834,1.5060273
196,-0.55321777,-0.4958462,2.5995545
197,-0.8504979,-0.51590073,3.6366081
198,-0.7326533,-0.3626439,3.3344676
199,-0.31477994,-0.23809928,2.6903133
200,-0.555941,-0.23429106,3.5073798
201,-1.4697175,-0.032313805,6.8985624
202,-0.44353262,0.007011555,4.0143805
203,-0.5937309,0.03813986,4.532814
354,0.9055209,-1.6139758,4.259523
355,1.3487253,-1.1952757,3.2201507
356,0.86351144,-1.7179836,4.6508994
357,-1.6220415,-1.9561856,5.3271594
358,1.006397,-1.6427569,4.493674
359,1.0700078,-1.4508768,4.030064
360,0.6409849,-1.7970476,5.130719
361,1.3968132,-1.0463262,2.9846513
362,-1.0123614,-0.8032844,2.3434446
363,-0.9367649,-0.8619108,2.5816808
364,0.6431333,-1.5986595,4.8553495
365,1.3195544,-1.0258577,3.151679
