id,x,y,z
0,-0.57396984,-2.0382798,5.6354585
1,-0.4259249,-1.8842578,5.2946367
2,-0.43100742,-1.8529332,5.289332
3,-0.12915182,-1.7413391,4.9705334
4,-0.31481954,-1.7555013,5.2406416
5,0.076651506,-1.6038154,4.786256
6,-0.35555926,-1.671364,5.0201945
7,0.19507454,-1.4455158,4.6506176
8,-0.32496217,-1.6035641,5.2340035
9,-0.26524562,-1.5794913,5.151089
10,-0.05559016,-1.4981462,4.883718
11,-0.008468245,-1.5860896,5.1715374
12,0.119114116,-1.6439102,5.466605
13,-0.16290982,-1.5495665,5.222784
14,0.1412321,-1.5691162,5.2764187
15,-0.63840294,-1.605238,5.4794693
16,-0.3993645,-1.600623,5.7233157
17,-0.11477039,-1.5578657,5.6051183
18,0.13044925,-1.3355633,4.80291
19,-0.38676172,-1.5688521,5.6865206
20,0.40547842,-1.265163,4.7061653
21,-0.028542751,-1.3719413,5.143731
22,-0.12081765,-1.288423,5.0959234
23,-0.0737645,-1.4631444,5.780456
24,-0.017892102,-1.3625473,5.4224296
25,0.16115868,-1.1489486,4.576299
26,0.097274885,-1.2965857,5.3299565
27,-0.16665564,-1.3729062,5.6894894
28,0.16096537,-1.3521653,5.5853467
29,0.40750083,-1.2549828,5.18398
30,0.10706765,-1.2462734,5.541449
31,0.43512806,-1.1005899,5.1254106
32,0.19706255,-1.123813,5.2831154
33,0.20227689,-1.078926,5.457004
34,0.3211023,-1.0693688,5.733814
35,0.33491957,-0.9541816,5.1137285
36,0.4162903,-0.9361649,5.5339456
37,0.09520572,-0.17689367,2.036866
38,0.098719336,-0.15810439,2.0314415
39,-1.9064602,-0.47591007,6.228262
40,0.10556517,-0.039148636,5.818256
41,-4.649825,0.15138426,10.26477
42,-0.63924617,-1.9111228,5.468544
43,-0.32208893,-1.8324279,5.462314
44,-0.26378518,-1.7175627,5.3020024
45,-0.63556284,-1.7496374,5.4338107
46,-0.5586364,-1.6282195,5.056506
47,-0.6697411,-1.751529,5.7247443
48,-0.17004335,-1.5507548,5.225321
49,0.37736908,-1.3663187,4.8698735
50,0.07710746,-1.3317611,4.789483
51,-0.045168366,-1.3674626,4.999517
52,-0.2737002,-1.3007338,4.793007
53,0.17339632,-1.2339497,4.540942
54,-0.24799666,-0.5644403,2.1137578
55,0.1831656,-1.2792419,5.013164
56,-0.01436006,-1.3991474,5.5276065
57,0.42565006,-1.157499,4.66103
58,0.14635636,-1.190391,4.9309807
59,0.32364264,-1.1433547,4.7334204
60,0.32712308,-1.077906,4.7813916
61,0.37644154,-1.0720553,4.742921
62,0.17537381,-1.0255736,4.8404903
63,0.17927088,-0.9773579,4.9359903
64,0.41727582,-0.9848712,4.9636197
65,0.25177735,-1.0281851,5.258292
66,0.10434128,-0.16305907,2.098778
67,-0.04752733,-0.15393743,2.5163841
68,-0.03596346,0.010575313,3.793628
69,0.21921785,0.07638805,5.367106
70,-0.6756461,-1.9870714,5.910872
71,-0.29380226,-1.6956736,5.0834446
72,-0.3143381,-1.6411363,5.0938644
73,-0.25732028,-1.6236702,5.260378
74,0.0012751622,-1.6116664,5.2196364
75,-0.1696518,-1.5251971,5.169204
76,-0.35546792,-1.49609,5.369021
77,0.28024742,-1.2247012,4.3999934
78,-0.31040487,-1.5375065,5.6284037
79,0.38512436,-1.1856722,4.3483963
80,-0.013681911,-1.3181517,5.191714
81,0.30535564,-1.0365478,4.587867
82,0.12160419,-1.1082299,5.0038743
83,0.20162335,-1.1246824,5.6465025
84,0.14911577,-0.9060014,5.3026123
85,0.110838026,-0.25557598,2.2140357
86,-0.036562085,0.019715697,4.799203
87,-3.619365,0.10236839,7.9428062
88,-0.036499523,0.059478804,4.7452493
89,-2.046356,0.09261995,6.3125405
90,-0.55051637,-1.579373,4.9576664
91,-0.30164587,-1.5704793,5.7651296
92,0.4618621,-1.2919831,5.177816
93,0.48346266,-1.044636,5.4073687
94,0.07677893,-0.117435805,2.307496
95,0.019323528,-0.00978566,5.4228797
96,-3.2913072,0.10106505,7.186538
97,-2.3922513,0.10574176,7.33693
98,0.10510888,-1.4414883,5.2477207
99,-3.0146873,0.065164514,6.798336
100,-3.541714,0.106872335,7.712801
101,0.20143746,-1.3029829,5.5719814
102,-0.28704375,-0.32121935,2.5422714
103,-0.056586813,-0.17221357,1.9868996
104,-1.6458399,-0.33011436,5.4513774
