frame_id,image_file,timestamp_sec,odom_x_cm,odom_y_cm,odom_theta_rad
0,frame_00000.png,1777218648.2510037,0.0,0.0,0.0
1,frame_00001.png,1777218649.5855668,3.1897008843843366,12.911947953096508,3.073736349890055e-07
2,frame_00002.png,1777218650.271017,4.844996602403199,19.61264945585725,2.4286079791657755e-06
3,frame_00003.png,1777218650.7763102,6.043712911516536,24.465078919737735,1.1515238553805318e-06
4,frame_00004.png,1777218651.3905687,7.507156011763158,30.38917989551628,7.629723226543206e-07
5,frame_00005.png,1777218672.2481756,13.800270921068318,59.62705569428154,0.9966344661608506
6,frame_00006.png,1777218672.7011826,13.566602072343557,59.35821542910884,1.0289930708795918
7,frame_00007.png,1777218673.073263,13.373981101076197,59.18390723036701,1.052658790144422
8,frame_00008.png,1777218673.4754815,13.166939035063393,59.2292180908203,1.0645352335081304
9,frame_00009.png,1777218673.9794943,13.362287072807305,59.568230620757845,1.099284197817707
10,frame_00010.png,1777218680.8794878,14.960305000068473,63.5984724466763,1.513460147803542
11,frame_00011.png,1777218685.8286045,-19.311932235173913,70.94185667387863,1.607683888133847
12,frame_00012.png,1777218686.9674098,-30.47221466747851,73.26578287408896,1.6076848034421776
13,frame_00013.png,1777218687.4924483,-35.560632786919626,74.32535211697078,1.6076841150429608
14,frame_00014.png,1777218720.1951146,-149.35697411020246,102.18112393864648,1.7381991046526268
15,frame_00015.png,1777218721.0243456,-157.63314521018518,102.80118711738017,1.7381996099585937
16,frame_00016.png,1777218721.521426,-162.51849140833934,103.167214758568,1.738200022352462
17,frame_00017.png,1777218727.0649712,-217.66289781297817,107.29875415859972,1.7381997571260897
18,frame_00018.png,1777218727.509302,-222.14878523304344,107.63484209827386,1.7381998449132912
19,frame_00019.png,1777218727.9043727,-226.03899626334513,107.92630132583291,1.7381995435734083
20,frame_00020.png,1777218728.251041,-229.52870811344857,108.18775980930543,1.7382005566725276
21,frame_00021.png,1777218728.689863,-233.8160370493952,108.50897358906757,1.738199608830767
22,frame_00022.png,1777218729.8638933,-245.48375417820657,109.38313792454572,1.7381996696632083
23,frame_00023.png,1777218789.2265315,-364.20350550727017,257.28746133609206,2.617381124348201
24,frame_00024.png,1777218789.6001213,-361.6368441641409,259.95355518570807,2.6173806177736623
25,frame_00025.png,1777218789.9952915,-358.86264800175604,262.8352342524058,2.617379840273504
26,frame_00026.png,1777218790.2483842,-357.1298554868471,264.63515799718283,2.6173807813192527
27,frame_00027.png,1777218792.2023902,-343.81456201851427,278.46630738415985,2.617380579029896
28,frame_00028.png,1777218792.5545623,-341.45595377775066,280.9162863693906,2.6173802965684096
29,frame_00029.png,1777218792.5718935,-341.3171843661951,281.06042902960075,2.617380196291074
30,frame_00030.png,1777218792.5912633,-341.17842152823476,281.20456967545783,2.6173803770199378
31,frame_00031.png,1777218823.2884765,-325.88924855508486,355.4766445558172,1.8302748383559955
32,frame_00032.png,1777218823.7937145,-330.88760051129725,355.3902019170292,1.8302737659933115
33,frame_00033.png,1777218824.2080746,-334.98770710653343,355.3192513076562,1.8302710043114159
34,frame_00034.png,1777218824.6338646,-339.1857064559947,355.24666946699267,1.8302696961421114
35,frame_00035.png,1777218825.099541,-343.8863086186366,355.16535446450706,1.8302659235312362
36,frame_00036.png,1777218825.5388355,-348.2840050869719,355.08933237265865,1.8302651074933287
37,frame_00037.png,1777218826.09432,-353.7842855699214,354.99421683989704,1.8302620401492344
38,frame_00038.png,1777218827.2323496,-365.18136116004627,354.79721678993127,1.830258299257184
39,frame_00039.png,1777218827.660134,-369.37983556482976,354.72467521190526,1.8302573532439137
40,frame_00040.png,1777218827.9435627,-372.18058703405916,354.6762368707759,1.8302531947353504
41,frame_00041.png,1777218828.48253,-377.57817696754364,354.5830002216033,1.8302530133969084
42,frame_00042.png,1777218847.6056335,-510.1294305701408,377.70671181626943,1.5022978301441867
43,frame_00043.png,1777218848.1277494,-514.9853625134632,379.2658536695495,1.5022987886822072
44,frame_00044.png,1777218848.4978168,-518.5074609759608,380.3967332927851,1.502296903891498
45,frame_00045.png,1777218848.8077853,-521.4595731883026,381.34459924123513,1.5022977998798588
46,frame_00046.png,1777218849.1676242,-524.886779568807,382.44500380865765,1.5022980727990465
47,frame_00047.png,1777218849.7206109,-530.1233165088125,384.12635677509934,1.5022972141468305
48,frame_00048.png,1777218850.1203742,-533.9314692936179,385.3490805217311,1.5022976884493433
