frame_id,image_file,timestamp_sec,odom_x_cm,odom_y_cm,odom_theta_rad
0,frame_00000.png,1777152786.7167137,-1.7620754427364647,-0.03860404769001757,0.00676401200700516
1,frame_00001.png,1777152786.8842523,-2.3622387135597953,-0.04266353824157783,0.00676401948340466
2,frame_00002.png,1777152786.981504,-3.4029510403677103,-0.049704691649429616,0.006763983478001556
3,frame_00003.png,1777152787.0485654,-3.5667717428910555,-0.05122424354043958,0.0069120553523420725
4,frame_00004.png,1777152787.3290448,-5.594277785883807,-0.05967540924632297,0.004009100240876862
5,frame_00005.png,1777152787.3855946,-5.800037380906109,-0.060400761215174535,0.007097307374909878
6,frame_00006.png,1777152787.401078,-5.931617227240732,-0.054554571649868266,0.00985355699013768
7,frame_00007.png,1777152787.903326,-6.039162745481546,-0.09553446165094115,0.019800773975177766
8,frame_00008.png,1777152788.262854,0.0,0.0,0.0
9,frame_00009.png,1777152788.4105086,-8.049834500818868,-0.17669326082833486,0.022155686438001254
10,frame_00010.png,1777152788.5489528,-8.88109917634754,-0.19074329607253207,0.023297653431858745
11,frame_00011.png,1777152788.7278657,-8.789473471723154,-0.17086975866236054,0.026541822558547423
12,frame_00012.png,1777152788.9156032,-10.314671832269937,-0.21141105949275735,0.026575729157982675
13,frame_00013.png,1777152789.0026813,-10.914409657606715,-0.22735315426139882,0.026575790452617376
14,frame_00014.png,1777152789.1005464,-11.246872673393293,-0.24747965530266236,0.031840522219493295
15,frame_00015.png,1777152789.1562972,-11.24492218029177,-0.266085057441141,0.036841413671421464
16,frame_00016.png,1777152789.4256208,-11.230730647050917,-0.3714828004630677,0.05434249844845951
